Marca temporal;PROGRAMA;A;B;C;D;E;F_;G;H;I;J;K;L;M;N;O;P;Q;R;S;T_;U;V;W;X;Y;Z;AA;AB;AC;AD;AE;AF;AG;AH;AI;AJ;AK;AL;AM;AN;AO;AP;AQ;AR;AS;AT;AU;AV;AW;AX;AY;AZ;BA;BB
10/6/2020 13:12:19;Hidráulica, Mención Gestión de Recursos Hídricos;7;6;7;7;6;6;6;8;9;9;7;7;9;8;7;8;8;9;9;8;8;8;9;8;7;7;8;8;8;8;8;8;8;1;7;8;7;8;1;6;6;1;6;8;8;4;7;5;6;6;7;8;3;6
10/6/2020 13:12:34;Educación, Mención Enseñanza Básica;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:12:53;Agronomía, Mención Agricultura Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:13:32;Hidráulica, Mención Gestión de Recursos Hídricos;9;9;8;9;9;8;8;9;9;8;9;8;9;9;9;9;9;9;8;8;8;8;8;9;8;8;8;8;9;8;9;9;9;6;8;8;8;7;5;8;8;6;5;8;8;8;8;7;8;8;8;8;8;8
10/6/2020 13:20:47;Matemática;7;8;7;8;8;8;7;8;7;8;7;8;8;8;7;8;8;8;8;8;8;8;8;8;9;9;9;9;9;8;8;8;9;9;9;8;8;9;9;8;8;9;9;9;9;9;8;8;8;9;9;9;9;9
10/6/2020 13:22:13;Agronomía, Mención Producción Agrícola Sostenible;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 13:23:15;Matemática;5;9;9;5;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;9;5;7;7;7;7;7;7;8;8;7;9;9;9;9;1;9;9;9;9;9;7;7;9;9;9;9;7;8;9;9
10/6/2020 13:23:43;Matemática;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;7;9;9;9;9;9;2;8;9;9;8;7;8;6;8;6;8;8;9;9;9;9;9;9;9;8;9;9;9;9;9
10/6/2020 13:24:42;Educación, Mención Enseñanza Básica;7;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;7;7;9;9;7;5;9;7;8;9;9;8;9;9;9;9;9;9;9;9;7;7;8;9;9;8;8;8;9;9;9;8
10/6/2020 13:25:43;Hidráulica, Mención Gestión de Recursos Hídricos;7;9;9;9;9;9;7;9;9;8;6;5;8;7;7;7;5;4;4;8;5;5;6;7;8;8;7;8;8;7;9;7;8;1;8;8;6;5;7;8;8;6;8;6;8;9;8;7;7;7;9;8;9;7
10/6/2020 13:26:15;Matemática;5;5;5;9;7;9;9;9;8;8;8;7;9;8;8;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 13:26:22;Hidráulica, Mención Gestión de Recursos Hídricos;9;9;9;8;8;9;7;9;9;8;7;8;9;9;8;8;8;9;9;8;9;8;8;9;8;8;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;7;8;9;9;9;9;9;9;8;8;8;8
10/6/2020 13:27:05;Agronomía, Mención Producción Agrícola Sostenible;7;8;9;8;8;5;6;9;5;8;7;8;7;9;6;5;7;7;7;7;3;3;3;7;8;8;6;7;9;9;9;9;9;1;5;8;9;7;5;9;6;9;9;9;9;9;9;9;9;9;9;8;7;8
10/6/2020 13:27:08;Agronomía, Mención Agricultura Sostenible;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;8;8
10/6/2020 13:29:20;Agronomía, Mención Agricultura Sostenible;7;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
10/6/2020 13:29:30;Agroindustria;9;9;9;9;9;9;7;9;9;9;9;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8
10/6/2020 13:31:05;Agronomía, Mención Agricultura Sostenible;9;8;9;9;9;9;9;9;9;9;8;8;9;9;9;9;9;9;9;9;8;8;7;8;8;8;7;8;8;7;7;8;9;8;9;9;8;8;8;9;9;9;5;7;8;9;8;9;8;8;9;9;9;9
10/6/2020 13:31:29;Matemática;9;8;9;9;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;7;7;2;9;9;7;9;9;8;8;9;9;9;9
10/6/2020 13:32:00;Optometría, Mención Contactología y Terapia Visual;9;9;9;9;9;9;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:34:28;Matemática;8;8;5;9;9;9;7;9;8;8;7;8;9;8;9;8;9;8;9;8;9;9;8;8;9;8;8;7;2;9;8;8;8;6;6;7;9;9;5;6;7;5;8;9;7;8;8;5;7;7;8;8;8;9
10/6/2020 13:34:46;Agroindustria;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:35:20;Agronomía, Mención Producción Agrícola Sostenible;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;6;9;9;9;9;9;9;8;8;8;8;9;9;9;9;9;4;9;8;9;8;9;9;9;9;8;9;9
10/6/2020 13:36:59;Agronomía, Mención Agricultura Sostenible;9;9;9;8;9;9;8;8;7;7;7;8;9;9;9;9;8;9;9;8;8;8;8;7;9;8;9;8;8;9;8;9;9;1;7;9;9;9;1;5;8;8;9;9;8;9;9;5;9;9;9;9;9;9
10/6/2020 13:38:10;Agronomía, Mención Agricultura Sostenible;9;9;9;9;6;9;8;8;9;7;7;8;8;8;8;8;8;8;8;7;5;5;5;7;9;7;5;8;6;9;9;9;9;9;8;8;8;8;5;9;9;9;9;9;8;9;9;9;9;7;8;7;8;7
10/6/2020 13:38:39;Educación, Mención Enseñanza Básica;8;8;2;9;7;8;8;9;8;9;9;9;9;9;9;9;9;8;8;8;8;8;8;8;8;8;8;8;8;8;8;9;8;8;8;8;8;9;8;8;8;9;8;8;8;8;8;8;9;8;8;8;8;8
10/6/2020 13:39:13;Agroindustria;9;9;9;9;9;9;8;8;7;8;8;8;9;9;9;9;7;8;8;8;7;8;8;7;8;8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;8;8;9;8;8;8
10/6/2020 13:39:43;Matemática;9;9;9;9;9;9;9;9;9;9;7;9;9;9;9;9;9;9;9;9;8;8;9;9;9;9;8;7;5;5;5;9;9;5;9;9;9;9;7;7;9;9;9;9;9;9;9;9;9;9;9;9;9;9
10/6/2020 13:40:25;Matemática;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
